gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,,
ILK,124,65,111,77,74,454,,,
ATP2A2,103,74,105,62,74,412,,,
RAC1,101,45,96,83,65,402,,,
ELMO2,97,46,107,54,62,377,,,
WDR3,105,52,76,69,69,368,,,
CSNK1A1,97,41,112,42,66,362,,,
ARPC4,98,50,94,62,50,360,,,
ITGAV,107,46,63,75,56,348,,,
EIF4E,102,35,89,64,63,347,,,
YRDC,97,53,91,57,47,344,,,
IARS,108,51,102,38,44,343,,,
CRKL,77,46,92,57,63,341,,,
STRAP,94,47,99,54,39,338,,,
MTOR,116,60,85,31,45,337,,,
ITGB1,80,29,81,73,57,334,,,
UTP3,105,37,72,76,46,331,,,
RPP30,99,31,56,71,59,330,,,
ACTL6A,79,40,75,62,54,329,,,
ZNHIT3,84,44,99,51,51,327,,,
VARS,104,40,78,37,59,326,,,
POLD2,79,75,68,62,37,325,,,
ACTR3,90,37,94,58,39,320,,,
RAPGEF1,81,34,88,44,63,320,,,
ACTR2,103,23,90,57,46,319,,,
DARS,90,27,73,61,65,319,,,
RSU1,96,35,93,35,49,311,,,
WDR36,95,41,90,47,35,309,,,
WDR43,97,35,61,59,62,308,,,
CEBPB,82,24,103,43,56,306,,,
SLC39A7,95,66,53,60,33,306,,,
ATP6V0C,65,45,123,35,28,305,,,
WDR75,92,20,63,68,59,302,,,
NOL6,98,14,63,65,61,299,,,
PNO1,85,56,68,34,48,296,,,
ROCK2,95,46,64,32,39,293,,,
DERL2,80,23,95,48,40,290,,,
INTS8,104,51,56,46,34,290,,,
TAF7,91,58,69,46,22,290,,,
RFWD2,76,41,75,43,32,285,,,
KATNA1,88,33,75,23,64,284,,,
SEC61G,72,33,52,56,64,281,,,
PRIM1,85,54,49,59,28,280,,,
PDCD2,94,25,62,46,53,279,,,
DDX10,91,26,58,45,53,273,,,
PAK2,65,25,88,68,22,272,,,
TRAPPC8,86,32,71,53,27,271,,,
ARF4,91,37,75,33,29,270,,,
TRRAP,68,55,41,79,22,269,,,
UTP15,75,46,54,40,48,269,,,
WBSCR22,92,34,54,44,39,269,,,
GGNBP2,76,54,78,24,25,268,,,
DDOST,53,56,95,29,37,267,,,
KDELR2,72,32,87,35,33,265,,,
DHX37,92,28,51,38,47,262,,,
MYH9,78,26,89,14,31,261,,,
WDR25,85,34,92,11,47,261,,,
HSPE1-MOB4,68,20,66,57,40,260,,,
MED12,92,52,29,42,39,259,,,
YARS,86,23,80,41,32,259,,,
EIF2B2,91,20,39,67,37,258,,,
GNB2L1,59,28,103,44,24,258,,,
LTV1,83,20,40,62,57,258,,,
RFC5,61,45,46,75,35,258,,,
POP7,76,41,61,37,31,255,,,
ARPC3,57,31,67,59,44,254,,,
MED23,92,31,20,68,46,254,,,
FARSA,76,23,57,56,34,252,,,
RBX1,94,19,49,45,41,252,,,
RPTOR,78,32,78,27,42,252,,,
CHAF1B,58,35,88,42,29,251,,,
UTP6,65,15,61,54,48,250,,,
JUNB,79,45,82,22,17,248,,,
PRIM2,60,37,83,48,19,247,,,
C18orf21,83,35,42,53,30,246,,,
GINS1,78,52,31,52,37,246,,,
ATP6V1C1,72,30,75,33,26,245,,,
TBL3,71,29,74,48,19,245,,,
FCF1,86,27,46,48,28,244,,,
POP4,79,15,45,57,34,243,,,
HEXIM1,72,26,48,45,44,242,,,
MPHOSPH10,78,23,30,46,55,242,,,
GPN2,52,37,73,26,54,241,,,
HNRNPDL,86,28,60,45,11,241,,,
MCM6,63,20,85,43,25,241,,,
NIPBL,60,48,76,40,12,241,,,
NOP16,61,16,56,48,55,241,,,
CHD4,80,29,65,11,41,240,,,
CREBBP,80,25,28,59,44,240,,,
SOCS3,82,55,69,19,14,240,,,
ITGB5,114,24,18,32,42,238,,,
NOL10,56,19,54,59,57,238,,,
SMG9,53,53,93,11,20,238,,,
ESF1,75,28,48,41,44,237,,,
CSNK2B,83,14,50,45,36,236,,,
GINS4,66,43,30,64,28,236,,,
GPT,55,59,67,23,28,236,,,
DIMT1,77,28,44,54,30,235,,,
IMP4,88,20,27,51,56,234,,,
COP1,47,37,58,34,43,232,,,
FBXW7,75,34,26,72,29,232,,,
SNX17,61,36,78,15,38,231,,,
TMED10,108,14,29,28,49,231,,,
NVL,94,33,29,45,22,230,,,
STAG2,53,17,71,53,34,230,,,
EIF1AD,88,35,34,36,27,229,,,
ZPR1,69,26,61,61,12,229,,,
E4F1,68,33,55,21,47,228,,,
KIAA1429,43,36,68,62,18,228,,,
RRP12,75,41,49,14,52,228,,,
UTP20,59,21,55,43,53,227,,,
FERMT2,77,19,75,28,32,226,,,
NAA50,59,40,59,18,35,225,,,
WDHD1,68,40,41,51,28,225,,,
WRB,53,28,113,16,6,225,,,
DHDDS,51,54,38,39,47,224,,,
NOP58,62,28,55,36,40,224,,,
RRP7A,58,19,44,54,46,223,,,
SRPRA,51,41,69,28,36,223,,,
NAA10,81,40,28,49,13,222,,,
7-Sep,71,45,34,47,17,222,,,
PAWR,66,14,54,17,55,221,,,
SPTY2D1,88,35,29,51,9,221,,,
HSP90B1,50,19,21,66,59,220,,,
LOC102724159,79,43,21,47,21,220,,,
POLE,77,46,26,48,22,219,,,
CSE1L,57,29,73,26,29,218,,,
EXOSC5,78,13,29,51,46,217,,,
GGPS1,50,48,63,13,30,217,,,
NOC4L,50,32,69,16,37,217,,,
RPS20,78,30,48,35,18,217,,,
ARMC7,80,33,34,40,25,215,,,
LLGL1,48,18,77,39,35,215,,,
NDUFS8,49,26,85,9,47,215,,,
SRSF7,57,32,40,49,27,214,,,
ATP6V1B2,56,26,92,14,18,213,,,
GPN3,50,15,57,25,65,213,,,
KRR1,57,33,22,67,24,213,,,
GINS3,66,32,31,64,18,212,,,
HYOU1,77,37,17,37,48,212,,,
INTS2,56,31,26,70,24,211,,,
PHB,54,26,67,18,42,211,,,
WASHC1,62,28,37,34,42,211,,,
EXOSC1,40,33,76,35,23,210,,,
MTHFD1,64,28,63,38,9,210,,,
NXT1,60,18,74,32,34,210,,,
RANGAP1,77,19,37,33,50,210,,,
TRIP12,53,35,66,25,32,210,,,
ABT1,51,20,51,47,35,209,,,
QARS,66,26,59,43,15,209,,,
TBXAS1,56,52,79,9,10,209,,,
ERO1LB,48,56,73,19,13,208,,,
NELFB,53,20,71,12,45,208,,,
TMED2,73,19,35,37,44,208,,,
POLD1,51,33,34,65,26,207,,,
WASH1,62,33,51,28,29,207,,,
YKT6,49,22,108,11,8,207,,,
B3GLCT,49,42,71,8,35,206,,,
CABP4,80,22,59,9,34,206,,,
NCDN,50,38,70,16,26,206,,,
RIOK1,70,21,52,26,33,206,,,
RPP14,42,11,68,31,54,206,,,
RPS23,77,23,33,23,44,206,,,
TM9SF1,58,57,83,3,8,206,,,
C10orf54,51,35,71,22,17,205,,,
CD96,54,50,62,25,8,205,,,
NUP62,59,17,56,46,22,205,,,
POLR2E,53,13,71,15,50,205,,,
PSMA2,31,33,86,10,44,205,,,
ELOA,69,32,47,33,17,204,,,
KARS,68,15,73,12,37,204,,,
LXN,62,28,60,17,29,204,,,
EIF5A,33,27,63,58,15,203,,,
PWP2,61,24,30,56,28,203,,,
SP1,59,22,47,33,27,203,,,
WDR74,87,25,20,22,52,203,,,
WNK1,80,32,21,23,39,203,,,
ATP6V0B,46,14,91,22,15,202,,,
CFL1,55,15,37,16,67,202,,,
GRK3,46,16,58,44,35,202,,,
ZBTB8OS,93,25,33,46,5,202,,,
FARSB,58,14,44,44,44,201,,,
ARPC2,75,13,47,38,23,200,,,
ISYNA1,64,46,32,20,39,200,,,
NLE1,71,25,39,19,41,200,,,
RIOK2,67,20,57,32,20,200,,,
RPSA,59,19,37,51,28,200,,,
RFTN2,71,42,68,9,8,199,,,
STAG1,41,27,49,26,59,199,,,
CWC27,62,64,55,13,12,198,,,
FUBP1,54,26,44,20,44,198,,,
PHF5A,70,11,75,20,27,198,,,
RAD18,66,41,64,12,7,198,,,
RPL17-C18ORF32,68,22,43,30,29,198,,,
SRSF1,73,34,25,38,26,198,,,
DKC1,77,21,55,30,15,197,,,
RTCB,50,27,55,41,22,196,,,
UGGT1,64,23,49,29,24,196,,,
ATAD5,45,25,93,14,21,195,,,
CHRNB1,64,26,58,17,19,195,,,
ELOB,62,30,32,54,23,195,,,
KIF3B,79,38,50,9,25,195,,,
SIRT2,46,36,52,12,46,195,,,
SLC35B1,47,72,38,15,30,195,,,
WDR24,56,28,49,34,27,195,,,
ATP6V1E1,55,14,75,24,12,194,,,
EIF3G,56,13,29,55,33,194,,,
MFN2,50,45,68,11,17,194,,,
RFC3,54,26,28,63,25,194,,,
INTS1,65,38,35,43,13,193,,,
NLRP2,36,35,58,33,25,193,,,
SETD1B,47,30,26,54,41,193,,,
