gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,
FBXW7,86,46,51,51,53,283,,
GGPS1,43,41,87,52,44,268,,
MED12,72,43,62,56,24,267,,
ARPC2,47,18,76,56,56,261,,
ASCC3,57,24,58,54,53,254,,
NUBP1,62,52,56,38,42,250,,
VPS29,36,44,88,20,59,250,,
GINS1,71,46,36,55,34,249,,
UBE2J1,56,32,69,53,28,248,,
ARPC4,59,11,63,52,50,243,,
DYNLL1,55,52,71,30,31,242,,
PGGT1B,61,16,67,30,52,241,,
RSU1,72,26,51,24,57,238,,
ATP6V1D,44,20,90,26,57,238,,
HSPE1-MOB4,37,26,77,54,37,235,,
ATP6V1C1,45,23,94,18,56,235,,
ILK,69,18,42,48,46,233,,
TLN1,61,10,32,56,55,229,,
AP2M1,64,42,53,34,38,228,,
RCL1,63,19,35,62,38,227,,
RAC1,47,17,49,50,61,227,,
PWP2,71,24,35,35,38,223,,
ACTR3,27,20,68,56,46,222,,
TMED10,54,14,52,34,58,219,,
TMED2,37,13,59,43,53,218,,
ITGAV,49,18,51,40,55,217,,
STRAP,40,18,67,53,31,213,,
ZNF236,63,19,17,62,37,209,,
GANAB,54,29,37,44,42,209,,
ABT1,52,32,42,33,38,207,,
DKC1,65,21,23,53,40,204,,
ATP6V0B,38,23,86,16,39,203,,
NOC4L,57,21,26,46,48,201,,
TRRAP,52,49,54,32,8,200,,
CSNK1A1,55,14,18,35,65,198,,
TBL3,48,18,21,54,36,197,,
TRAPPC1,30,30,91,34,9,197,,
ITGB1,40,18,37,52,37,195,,
ALG1,39,52,37,35,26,195,,
MYLIP,50,23,67,8,47,193,,
RPP30,49,13,24,58,41,192,,
WDHD1,45,47,38,44,14,192,,
POLR3H,50,17,43,32,38,191,,
MTOR,63,33,57,12,27,191,,
SART3,35,47,75,15,19,191,,
ATP6V0C,41,21,79,23,27,189,,
BMS1,56,12,20,54,38,188,,
CHD8,42,16,25,56,38,188,,
RFC5,53,37,32,40,13,183,,
ATP2A2,39,26,66,19,28,183,,
DPAGT1,30,43,28,35,49,182,,
POP7,56,14,31,39,38,180,,
WDR75,49,9,25,39,53,179,,
RFC3,49,28,33,49,16,179,,
GMPPB,54,53,20,10,44,178,,
ACTR2,34,12,67,21,40,178,,
YRDC,61,24,54,11,24,177,,
GINS4,48,25,25,44,32,174,,
ZER1,47,34,34,29,22,174,,
SYS1,25,15,81,5,37,174,,
VHL,54,17,31,16,49,173,,
ITGB5,44,18,37,10,55,172,,
PAK2,45,18,24,58,11,169,,
EXOSC5,44,14,36,55,17,169,,
ZBTB8OS,54,14,35,36,27,168,,
ARF4,59,27,36,9,33,168,,
IMP4,40,16,30,40,35,167,,
UTP23,63,12,14,37,35,166,,
C21orf59-TCP10L,35,14,29,29,55,166,,
ELOB,63,19,22,39,22,165,,
NCKAP1,26,15,27,49,40,165,,
CSNK2B,44,19,28,42,19,165,,
EXOC5,54,16,50,12,23,165,,
RNMT,43,21,30,54,12,163,,
HSP90B1,55,6,32,16,49,163,,
LIMS1,38,10,41,16,56,163,,
CEBPB,39,10,54,25,33,163,,
PPP6C,37,19,20,36,45,160,,
YARS,60,8,26,17,42,159,,
CRKL,30,23,47,16,33,159,,
NOL10,34,15,19,47,34,158,,
SPTY2D1,47,41,27,23,18,158,,
CNOT4,51,16,50,13,25,158,,
DERL2,44,12,53,18,26,158,,
POLD2,41,31,26,34,22,157,,
GTF2A2,33,26,32,51,8,157,,
SLC39A1,56,12,33,16,39,157,,
SEC13,40,24,43,12,33,157,,
EIF5A,31,23,69,11,14,157,,
ATP6V1B2,24,11,84,28,12,157,,
RRP12,39,9,21,38,44,156,,
NOB1,48,7,9,38,51,155,,
KRR1,41,11,22,40,36,154,,
WDR46,39,11,28,37,36,154,,
CDC123,37,8,32,43,26,154,,
CNOT11,35,13,43,39,16,154,,
TP53RK,42,24,43,11,32,153,,
THOC3,55,44,45,7,5,153,,
SEPTIN7,61,16,21,27,10,152,,
CNOT3,37,5,58,5,43,152,,
TRAPPC4,28,8,65,31,7,152,,
TSC1,24,21,46,7,47,151,,
PPFIA1,47,24,46,2,31,151,,
KATNB1,41,16,40,18,31,150,,
PDCD2,53,18,14,27,33,149,,
CFL1,26,15,15,18,67,149,,
CUL2,50,16,23,31,24,149,,
ESF1,43,10,11,40,25,148,,
ALG12,29,77,19,17,3,148,,
SMARCA5,35,12,37,6,52,148,,
DDX6,45,25,27,40,6,147,,
RAPGEF1,35,15,46,9,42,147,,
UBE2G2,37,14,45,28,20,146,,
