Gene,Cells_Granularity_3_ConA
GABPB1,2.57e-05
ABHD12,0.000574693
ABHD16B,0.000574693
ACTA1,0.000574693
ACTN2,0.000574693
ADAMTSL5,0.000574693
ADCY10,0.000574693
ADPRH,0.000574693
ALG12,0.000574693
ALG9,0.000574693
ANKHD1,0.000574693
ANKRD52,0.000574693
ARHGEF3,0.000574693
ARMC7,0.000574693
ATG12,0.000574693
ATOH7,0.000574693
ATP2A2,0.000574693
ATP6V1C1,0.000574693
AUNIP,0.000574693
BRIX1,0.000574693
BSG,0.000574693
C12orf45,0.000574693
CACNB1,0.000574693
CACTIN,0.000574693
CALU,0.000574693
CBLN2,0.000574693
CCZ1B,0.000574693
CD79A,0.000574693
CH25H,0.000574693
CHMP3,0.000574693
CNOT4,0.000574693
DAZAP2,0.000574693
DDR1,0.000574693
DDX6,0.000574693
DLEC1,0.000574693
DNAJA3,0.000574693
DOCK3,0.000574693
DPH3,0.000574693
DPM1,0.000574693
EIF2B2,0.000574693
EIF4B,0.000574693
ELOF1,0.000574693
EVI5,0.000574693
EXOC4,0.000574693
FAM72C,0.000574693
FBXO36,0.000574693
FOXN1,0.000574693
FSCN2,0.000574693
GLT1D1,0.000574693
GOLGA8N,0.000574693
GOLGA8O,0.000574693
GPAT2,0.000574693
GPX4,0.000574693
GTF2A2,0.000574693
GTF2H4,0.000574693
HINFP,0.000574693
HMGN5,0.000574693
HOXA11,0.000574693
IL27RA,0.000574693
IMMP1L,0.000574693
INTS7,0.000574693
IZUMO4,0.000574693
KARS,0.000574693
KATNA1,0.000574693
KATNB1,0.000574693
KRR1,0.000574693
KRT36,0.000574693
LOC100996911,0.000574693
LOC101927562,0.000574693
LOC102724474,0.000574693
LOC102724971,0.000574693
LOC105369869,0.000574693
LOC112268284,0.000574693
LOC283710,0.000574693
LOC646588,0.000574693
LRRC24,0.000574693
LSM14B,0.000574693
LYN,0.000574693
MARS,0.000574693
MLXIP,0.000574693
MOGAT3,0.000574693
MTFR2,0.000574693
MYC,0.000574693
NLGN3,0.000574693
NOP58,0.000574693
NRXN2,0.000574693
OR1N2,0.000574693
OSGEP,0.000574693
PAAF1,0.000574693
PCDHB7,0.000574693
PF4,0.000574693
PIK3C3,0.000574693
PKP3,0.000574693
PLVAP,0.000574693
PMPCB,0.000574693
POLD3,0.000574693
POLR2I,0.000574693
POMP,0.000574693
POP1,0.000574693
POP4,0.000574693
PPP2R3A,0.000574693
PRKACB,0.000574693
PRR13,0.000574693
PRR25,0.000574693
PTDSS1,0.000574693
PTRHD1,0.000574693
QRICH1,0.000574693
RAN,0.000574693
RBM19,0.000574693
RD3,0.000574693
RGS9BP,0.000574693
RPAP1,0.000574693
RPP14,0.000574693
RPS12,0.000574693
RPS23,0.000574693
RPS6KL1,0.000574693
RPS8,0.000574693
RPS9,0.000574693
SBK2,0.000574693
SCAPER,0.000574693
SERPINA11,0.000574693
SERPINB9,0.000574693
SF3B2,0.000574693
SFI1,0.000574693
SHE,0.000574693
SHROOM3,0.000574693
SLC9B1,0.000574693
SNRPB,0.000574693
SNX1,0.000574693
SPCS2,0.000574693
SPG11,0.000574693
SPNS3,0.000574693
SPTBN5,0.000574693
SRGAP2,0.000574693
SUPT7L,0.000574693
SYK,0.000574693
SYVN1,0.000574693
TBL3,0.000574693
TBP,0.000574693
THOC3,0.000574693
TIMM44,0.000574693
TIPIN,0.000574693
TK1,0.000574693
TMEM27,0.000574693
TNFAIP8L1,0.000574693
TRAPPC1,0.000574693
TRAPPC4,0.000574693
TRAPPC8,0.000574693
TXNL4B,0.000574693
TYR,0.000574693
UBA3,0.000574693
VPS11,0.000574693
VPS28,0.000574693
WDR25,0.000574693
YKT6,0.000574693
ZBTB16,0.000574693
ZBTB8OS,0.000574693
ZER1,0.000574693
ZNF853,0.000574693
