Gene,Cells_Granularity_7_ConA
FAM106A,0.000122584
CHN2,0.000188404
NOB1,0.000574691
AAAS,0.000574692
AARS,0.000574692
AATF,0.000574692
ABCC6,0.000574692
ACTR3,0.000574692
ADCK1,0.000574692
AGAP6,0.000574692
ALG12,0.000574692
ALG9,0.000574692
AMMECR1L,0.000574692
ARFGEF3,0.000574692
ARHGAP11B,0.000574692
ARHGAP33,0.000574692
ARHGEF7,0.000574692
ART5,0.000574692
ASDURF,0.000574692
ASTN2,0.000574692
ATP6V0C,0.000574692
ATP6V1A,0.000574692
BANF1,0.000574692
BTBD9,0.000574692
C21orf59-TCP10L,0.000574692
C8orf33,0.000574692
CAPN13,0.000574692
CASP6,0.000574692
CCBL1,0.000574692
CCDC178,0.000574692
CCDC71,0.000574692
CDC123,0.000574692
CDC14C,0.000574692
CHD1,0.000574692
CHMP6,0.000574692
CLEC4F,0.000574692
CNTNAP1,0.000574692
CRP,0.000574692
CRTC1,0.000574692
CTSC,0.000574692
CTSG,0.000574692
CUL2,0.000574692
CXCR3,0.000574692
DAB2,0.000574692
DAPK1,0.000574692
DDX23,0.000574692
DHX35,0.000574692
DIRAS2,0.000574692
DNAJB12,0.000574692
DNM2,0.000574692
DPM1,0.000574692
DPM2,0.000574692
DSE,0.000574692
DTHD1,0.000574692
ECT2,0.000574692
EFHC1,0.000574692
EMG1,0.000574692
FAM163B,0.000574692
FNDC4,0.000574692
FOXF2,0.000574692
GABRB3,0.000574692
GHSR,0.000574692
GNA11,0.000574692
GP1BA,0.000574692
GPR4,0.000574692
HGD,0.000574692
HIST3H2A,0.000574692
HMGCR,0.000574692
HNRNPA3,0.000574692
HOMEZ,0.000574692
HOXB6,0.000574692
HOXD13,0.000574692
HOXD8,0.000574692
HSD11B2,0.000574692
IL5RA,0.000574692
ING1,0.000574692
INO80,0.000574692
INTS3,0.000574692
KCNA1,0.000574692
KIF20A,0.000574692
KLK10,0.000574692
LCN1,0.000574692
LEO1,0.000574692
LOC102724200,0.000574692
LOC102724965,0.000574692
LOC105371419,0.000574692
LOC105371844,0.000574692
LOC105372798,0.000574692
LOC107984264,0.000574692
LOC112268219,0.000574692
LOC388282,0.000574692
LRMP,0.000574692
LSM2,0.000574692
LUC7L3,0.000574692
MCM5,0.000574692
MED4,0.000574692
MEX3A,0.000574692
MFAP1,0.000574692
MGAT2,0.000574692
MRPL16,0.000574692
MTHFS,0.000574692
MTMR14,0.000574692
NCAPD2,0.000574692
NCKAP1,0.000574692
NDN,0.000574692
NELFB,0.000574692
NIF3L1,0.000574692
NMT1,0.000574692
NXPH2,0.000574692
OGFOD3,0.000574692
OR51L1,0.000574692
OTOP1,0.000574692
PAK2,0.000574692
PARP15,0.000574692
PASD1,0.000574692
PDE4A,0.000574692
PDE6D,0.000574692
PGGT1B,0.000574692
PIKFYVE,0.000574692
PILRB,0.000574692
POLA1,0.000574692
PRIM2,0.000574692
PRR16,0.000574692
PRSS54,0.000574692
PTPRO,0.000574692
REV1,0.000574692
RPAP1,0.000574692
RPAP2,0.000574692
RPL21,0.000574692
RPL30,0.000574692
RPSA,0.000574692
RRAD,0.000574692
RTCB,0.000574692
RUNDC3A,0.000574692
SEM1,0.000574692
SH3TC1,0.000574692
SLC12A5,0.000574692
SMARCA4,0.000574692
SMC1A,0.000574692
SNU13,0.000574692
SPIB,0.000574692
SRC,0.000574692
SSTR5,0.000574692
SSU72,0.000574692
TAF3,0.000574692
TBC1D17,0.000574692
TBC1D5,0.000574692
TCEAL4,0.000574692
TMEM191C,0.000574692
TMEM256,0.000574692
TMEM64,0.000574692
TOP2B,0.000574692
TPBG,0.000574692
TPR,0.000574692
TPRX1,0.000574692
TSC22D2,0.000574692
TTLL7,0.000574692
ULBP3,0.000574692
VGLL4,0.000574692
VPS28,0.000574692
WDR36,0.000574692
WDR77,0.000574692
WISP3,0.000574692
YEATS2,0.000574692
YKT6,0.000574692
ZBTB45,0.000574692
ZBTB46,0.000574692
ZMAT2,0.000574692
ZMAT3,0.000574692
ZNF256,0.000574692
ZNF347,0.000574692
ZNF578,0.000574692
ZNF771,0.000574692
ZYX,0.000574692
7-Sep,0.000574692
