Gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum
AAMP,18.0,13.0,31.0,35.0,84.0,185.0
ABCA10,27.0,21.0,63.0,67.0,26.0,199.0
ABCB9,31.0,17.0,21.0,88.0,19.0,185.0
ABLIM3,27.0,16.0,25.0,91.0,22.0,185.0
ACIN1,33.0,41.0,21.0,44.0,19.0,154.0
ACOT8,54.0,46.0,41.0,19.0,14.0,175.0
ACTL6B,24.0,13.0,63.0,25.0,50.0,172.0
ACTN4,30.0,10.0,17.0,19.0,62.0,142.0
ACTR2,21.0,12.0,59.0,38.0,62.0,193.0
ADAM12,14.0,9.0,14.0,36.0,67.0,140.0
ADAMTS15,13.0,11.0,19.0,17.0,67.0,126.0
ADAMTS18,41.0,41.0,38.0,24.0,29.0,183.0
ADM5,46.0,17.0,34.0,54.0,53.0,207.0
ADNP,19.0,10.0,19.0,96.0,14.0,166.0
AFG3L2,33.0,19.0,58.0,26.0,15.0,150.0
AHCYL1,36.0,57.0,19.0,44.0,19.0,171.0
ALDH1A3,19.0,20.0,23.0,88.0,15.0,181.0
ALG10,51.0,46.0,22.0,62.0,12.0,196.0
ALG11,38.0,85.0,56.0,13.0,19.0,193.0
ALG12,63.0,37.0,37.0,34.0,18.0,196.0
ALG1L,45.0,50.0,25.0,43.0,14.0,180.0
AMDHD2,23.0,45.0,19.0,17.0,16.0,121.0
ANKMY1,20.0,14.0,16.0,93.0,22.0,167.0
ANO1,33.0,13.0,20.0,25.0,57.0,150.0
ANXA11,50.0,30.0,21.0,23.0,20.0,143.0
AP1M1,63.0,47.0,39.0,23.0,37.0,197.0
APC2,26.0,13.0,65.0,18.0,73.0,204.0
APLP1,20.0,16.0,64.0,17.0,36.0,159.0
ARFGAP2,41.0,13.0,65.0,55.0,29.0,201.0
ARHGEF25,52.0,17.0,25.0,103.0,15.0,216.0
ARHGEF33,48.0,41.0,23.0,55.0,17.0,184.0
ARIH1,25.0,12.0,49.0,27.0,67.0,192.0
ARMC10,56.0,34.0,16.0,40.0,18.0,163.0
ASCC3,16.0,14.0,39.0,76.0,56.0,205.0
ASH2L,21.0,11.0,59.0,35.0,47.0,177.0
ATAD3A,72.0,22.0,29.0,31.0,24.0,193.0
ATF5,50.0,28.0,25.0,22.0,20.0,150.0
ATP2C1,30.0,11.0,21.0,98.0,24.0,202.0
ATP6V1C1,37.0,24.0,86.0,28.0,34.0,200.0
ATP6V1E1,21.0,9.0,64.0,23.0,26.0,134.0
ATP6V1G1,17.0,13.0,95.0,40.0,23.0,178.0
ATP6V1H,21.0,11.0,102.0,27.0,39.0,210.0
ATXN7L3,64.0,39.0,22.0,21.0,13.0,163.0
B4GALNT2,19.0,17.0,22.0,95.0,30.0,192.0
B4GALT1,22.0,20.0,90.0,21.0,19.0,164.0
BAK1,12.0,12.0,35.0,21.0,69.0,156.0
BCAR1,32.0,17.0,60.0,40.0,33.0,188.0
BCKDHA,33.0,17.0,58.0,54.0,38.0,204.0
BCL6,38.0,24.0,68.0,55.0,15.0,202.0
BHLHA15,22.0,16.0,32.0,18.0,83.0,176.0
BIRC2,27.0,38.0,30.0,29.0,16.0,139.0
BLOC1S6,58.0,28.0,23.0,24.0,16.0,147.0
BMPR2,33.0,41.0,20.0,17.0,17.0,135.0
BNC2,35.0,16.0,90.0,51.0,29.0,217.0
BNIP2,12.0,9.0,13.0,29.0,60.0,133.0
BPTF,56.0,20.0,16.0,11.0,30.0,126.0
BRK1,31.0,16.0,61.0,24.0,36.0,172.0
