Gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum
ABCB7,32.0,20.0,26.0,108.0,20.0,222.0
ABCF1,35.0,23.0,34.0,65.0,71.0,225.0
ACTB,40.0,22.0,59.0,40.0,80.0,240.0
AP1G2,37.0,22.0,57.0,44.0,50.0,224.0
AP2M1,41.0,25.0,102.0,61.0,16.0,246.0
AP3B1,47.0,25.0,25.0,94.0,21.0,220.0
APRT,61.0,37.0,29.0,62.0,21.0,230.0
APTX,38.0,40.0,37.0,95.0,24.0,253.0
AQP5,36.0,13.0,61.0,68.0,35.0,222.0
ARF1,46.0,24.0,133.0,53.0,30.0,276.0
ARHGAP42,77.0,58.0,26.0,41.0,22.0,228.0
ARHGEF7,66.0,24.0,28.0,65.0,36.0,224.0
ARID2,39.0,26.0,53.0,67.0,21.0,219.0
ARL10,40.0,20.0,41.0,89.0,30.0,220.0
ARL4A,42.0,19.0,39.0,74.0,54.0,239.0
ARMC7,58.0,28.0,65.0,126.0,49.0,331.0
ARPC4,32.0,23.0,120.0,60.0,65.0,296.0
ATP5D,40.0,25.0,73.0,111.0,42.0,295.0
ATP5G2,70.0,27.0,45.0,50.0,20.0,218.0
ATP5J2,48.0,37.0,53.0,57.0,36.0,239.0
ATP5O,32.0,29.0,42.0,104.0,29.0,253.0
ATP6V0B,54.0,30.0,121.0,55.0,65.0,326.0
ATP6V0C,44.0,30.0,143.0,36.0,34.0,279.0
ATP6V0D1,36.0,19.0,118.0,39.0,30.0,237.0
ATP6V1A,27.0,17.0,147.0,29.0,65.0,281.0
ATP6V1B2,30.0,23.0,180.0,46.0,65.0,331.0
ATP6V1D,36.0,27.0,84.0,52.0,37.0,224.0
BARD1,53.0,21.0,56.0,66.0,33.0,227.0
BEST3,34.0,21.0,33.0,89.0,22.0,222.0
BMP7,62.0,30.0,29.0,66.0,36.0,222.0
BRD2,44.0,11.0,25.0,97.0,47.0,237.0
BRF1,41.0,17.0,33.0,85.0,73.0,249.0
BTF3,73.0,48.0,50.0,79.0,57.0,292.0
C12orf45,42.0,27.0,57.0,105.0,34.0,259.0
C16orf72,81.0,63.0,62.0,139.0,44.0,407.0
C19orf53,24.0,29.0,56.0,97.0,30.0,242.0
C1orf56,55.0,33.0,29.0,133.0,28.0,292.0
C2orf27A,35.0,25.0,38.0,101.0,21.0,229.0
