Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
cell_dapi_int,Intensity_IntegratedIntensity,The sum of DAPI channel intensity values within the segmented cell,,,TRUE,,,,182,475,884
cell_dapi_mean,Intensity_MeanIntensity,The mean of DAPI channel intensity values within the segmented cell,,,,,,,,,
cell_dapi_std,Intensity_StdIntensity,The standard deviation of DAPI channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_dapi_max,Intensity_MaxIntensity,The maximum of DAPI channel intensity values within the segmented cell,,,,,,,,,
cell_dapi_min,Intensity_MinIntensity,The minimum of DAPI channel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_dapi_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented cell's geometric centroid and the DAPI channel intensity weighted centroid (e.g., center of gravity of the DAPI channel intensity values).",,,TRUE,TRUE,DNA mass displacement,,,,
cell_dapi_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of DAPI channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_dapi_median,Intensity_MedianIntensity,The median of DAPI channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_dapi_mad,Intensity_MADIntensity,The median absolute deviation of DAPI channel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_dapi_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of DAPI channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_dapi_int_edge,Intensity_IntegratedIntensityEdge,The sum of DAPI channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,TRUE,TRUE,,,,,
cell_dapi_mean_edge,Intensity_MeanIntensityEdge,The mean of DAPI channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_dapi_std_edge,Intensity_StdIntensityEdge,The standard deviation of DAPI channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_dapi_max_edge,Intensity_MaxIntensityEdge,The maximum of DAPI channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_dapi_min_edge,Intensity_MinIntensityEdge,The minimum of DAPI channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,,,,,,
cell_dapi_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the center of mass of DAPI channel intensity values.,,,,,,,,,
cell_dapi_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the center of mass of DAPI channel intensity values.,,,,,,,,,
cell_dapi_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of DAPI channel intensity values.,,,,,,,,,
cell_dapi_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of DAPI channel intensity values.,,,,,,,,,
cell_tubulin_int,Intensity_IntegratedIntensity,The sum of tubulin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_tubulin_mean,Intensity_MeanIntensity,The mean of tubulin channel intensity values within the segmented cell,,TRUE,TRUE,TRUE,tubulin mean intensity,Cell tubulin mean intensity,,,
cell_tubulin_std,Intensity_StdIntensity,The standard deviation of tubulin channel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_tubulin_max,Intensity_MaxIntensity,The maximum of tubulin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_tubulin_min,Intensity_MinIntensity,The minimum of tubulin channel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_tubulin_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented cell's geometric centroid and the tubulin channel intensity weighted centroid (e.g., center of gravity of the tubulin channel intensity values).",,TRUE,TRUE,TRUE,tubulin mass displacement,,,,
cell_tubulin_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of tubulin channel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_tubulin_median,Intensity_MedianIntensity,The median of tubulin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_tubulin_mad,Intensity_MADIntensity,The median absolute deviation of tubulin channel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_tubulin_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of tubulin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_tubulin_int_edge,Intensity_IntegratedIntensityEdge,The sum of tubulin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_tubulin_mean_edge,Intensity_MeanIntensityEdge,The mean of tubulin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,TRUE,TRUE,,,,,
cell_tubulin_std_edge,Intensity_StdIntensityEdge,The standard deviation of tubulin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
cell_tubulin_max_edge,Intensity_MaxIntensityEdge,The maximum of tubulin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_tubulin_min_edge,Intensity_MinIntensityEdge,The minimum of tubulin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,,,,,,
cell_tubulin_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the center of mass of tubulin channel intensity values.,,,,,,,,,
cell_tubulin_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the center of mass of tubulin channel intensity values.,,,,,,,,,
cell_tubulin_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of tubulin channel intensity values.,,,,,,,,,
cell_tubulin_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of tubulin channel intensity values.,,,,,,,,,
