Gene,Cells_Granularity_8_ConA
CHRNA7,3.7e-05
DEFB135,6.29e-05
HS3ST3A1,0.000120087
WNT3,0.000373977
ALG12,0.00057469
ALG9,0.000574691
DDTL,0.000574691
EMG1,0.000574691
GGH,0.000574691
GPR107,0.000574691
LOC112268464,0.000574691
LOXHD1,0.000574691
OR2T10,0.000574691
POLR1B,0.000574691
RHBDL1,0.000574691
SKOR1,0.000574691
TIMELESS,0.000574691
ZNF318,0.000574691
ABCB6,0.000574692
ADAM15,0.000574692
AGO1,0.000574692
AKT1,0.000574692
ALB,0.000574692
ALOX12,0.000574692
ALS2CR12,0.000574692
AMPH,0.000574692
ANKHD1,0.000574692
ANKRD66,0.000574692
AP2M1,0.000574692
ARF3,0.000574692
ARHGAP19,0.000574692
ARHGAP32,0.000574692
ARL13B,0.000574692
ARPC2,0.000574692
ARSH,0.000574692
ART4,0.000574692
ARX,0.000574692
ASCL4,0.000574692
ASPDH,0.000574692
ATG16L2,0.000574692
ATP6AP1,0.000574692
ATP6AP1L,0.000574692
ATP6V0C,0.000574692
ATP6V1A,0.000574692
ATP6V1C1,0.000574692
BCAS3,0.000574692
BCL6,0.000574692
BDKRB2,0.000574692
BECN1,0.000574692
BECN2,0.000574692
BEX5,0.000574692
BHLHA9,0.000574692
BOK,0.000574692
BTBD17,0.000574692
BTG2,0.000574692
C11orf96,0.000574692
C12orf76,0.000574692
C15orf40,0.000574692
C16orf58,0.000574692
C17orf67,0.000574692
C19orf35,0.000574692
C1QL2,0.000574692
C2orf91,0.000574692
C3orf14,0.000574692
C5AR1,0.000574692
C8orf44,0.000574692
C9orf139,0.000574692
CA12,0.000574692
CA6,0.000574692
CAB39,0.000574692
CAV2,0.000574692
CBWD3,0.000574692
CCDC166,0.000574692
CCDC171,0.000574692
CCL26,0.000574692
CCR7,0.000574692
CCT6B,0.000574692
CD276,0.000574692
CD3EAP,0.000574692
CDC26,0.000574692
CDYL2,0.000574692
CEP120,0.000574692
CFAP52,0.000574692
CHD4,0.000574692
CHMP6,0.000574692
CLIC2,0.000574692
COG4,0.000574692
COL4A1,0.000574692
COLGALT1,0.000574692
COX17,0.000574692
CRKL,0.000574692
CS,0.000574692
CSAD,0.000574692
CST8,0.000574692
CTSH,0.000574692
CTTN,0.000574692
CXorf38,0.000574692
CXorf51A,0.000574692
CYHR1,0.000574692
CYLC2,0.000574692
CYTIP,0.000574692
DDX20,0.000574692
DDX42,0.000574692
DERL2,0.000574692
DET1,0.000574692
DHPS,0.000574692
DHX37,0.000574692
DIRAS2,0.000574692
DLGAP2,0.000574692
DNAJA2,0.000574692
DNM2,0.000574692
DPM2,0.000574692
E4F1,0.000574692
ECT2,0.000574692
EFHC1,0.000574692
EGR1,0.000574692
EIF3D,0.000574692
EMC10,0.000574692
EPS8L3,0.000574692
ERMARD,0.000574692
ESAM,0.000574692
FBXO22,0.000574692
FGF10,0.000574692
FKBP10,0.000574692
FLOT2,0.000574692
FOLR1,0.000574692
FOSL2,0.000574692
FOXD3,0.000574692
FOXK2,0.000574692
GAA,0.000574692
GALM,0.000574692
GANAB,0.000574692
GEMIN2,0.000574692
GEMIN8,0.000574692
GFRA3,0.000574692
GJD3,0.000574692
GK5,0.000574692
GMPR2,0.000574692
GPR132,0.000574692
GPR33,0.000574692
GREM2,0.000574692
GTF2E2,0.000574692
GYS2,0.000574692
H3.Y,0.000574692
H6PD,0.000574692
HESX1,0.000574692
