Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_ConA,Cells_Granularity_2_ConA,Cells_Granularity_3_ConA,Cells_Granularity_4_ConA,Cells_Granularity_5_ConA,Cells_Granularity_7_ConA,Cells_Granularity_6_ConA,Cells_Granularity_8_ConA,Path
AGA,-0.17787999999999998,0.1926485,0.1025545,0.1181275,0.020682499999999986,-0.6440475,-0.46887999999999996,-0.500135,Nglycan_Lyso
ALG1,0.9082925000000001,-1.7052,-0.78239525,-0.9470209999999999,-0.9086875000000001,-0.39945575,-0.62746,-0.44703075000000003,Nglycan_Cyto
ALG10,-0.12712075,-0.014907500000000018,-0.05144749999999999,0.14975249999999998,-0.18283500000000003,0.2116775,0.16324249999999998,-0.5173225,Nglycan_ER
ALG10B,0.47653249999999997,-0.32911999999999997,0.11717249999999998,-0.29450575,-0.5260575000000001,-0.48476149999999996,-0.403465,-0.4784925,Nglycan_ER
ALG11,0.08888000000000001,-0.9929125000000001,-0.39325499999999997,-0.5646425,-0.80515,-0.012812499999999977,-0.312825,0.17598,Nglycan_Cyto
ALG12,4.7826,-2.3217,-1.83,-1.774475,-1.699275,-0.8106774999999999,-1.2732999999999999,-0.63361,Nglycan_ER
ALG13,0.027410000000000004,-0.443255,-0.232095,-0.19458999999999999,-0.6484399999999999,-0.26129725,-0.33620249999999996,-0.51872,Nglycan_Cyto
ALG14,-0.18897275000000002,-0.559125,-0.461275,-0.2596539,0.0010349999999999804,-0.3977275,0.07928125,-0.20515999999999998,Nglycan_Cyto
ALG2,0.4639705,-0.1040275,-0.22733075000000003,-0.46152499999999996,-0.3860925,0.656905,0.02960450000000002,0.273525,Nglycan_Cyto
ALG3,1.1614725,-0.4828175,-0.59338,-1.0673575,-0.8937174999999999,-0.5368474999999999,-0.9081125,-0.61432,Nglycan_ER
ALG5,0.22308000000000003,0.002742500000000009,-0.5655375,-0.7306025,-0.778815,-0.4046025,-0.42603250000000004,-0.41282425,Nglycan_Cyto
ALG6,0.196305,0.025250400000000006,-0.11891725,-0.2333675,-0.38013,-0.07083775,-0.257146,-0.403226,Nglycan_ER
ALG8,-0.19233499999999998,0.07355900000000001,-0.008292499999999994,-0.21280575000000002,-0.1189075,-0.3310075,0.13191250000000002,-0.11316499999999996,Nglycan_ER
ALG9,3.409825,-2.018025,-1.5213375,-1.5616750000000001,-1.7035,-0.8046274999999999,-1.233675,-0.6336075,Nglycan_ER
B4GALT1,0.19128250000000002,-0.1006675,-0.019932500000000006,0.64954275,0.096228,-0.46642925,-0.417141,-0.39127525,Nglycan_Golgi
B4GALT2,-0.023090750000000007,0.22554200000000002,0.121575,-0.4314933,0.35428000000000004,0.64672,-0.47159075,-0.129751775,Nglycan_Golgi
B4GALT3,-0.0360225,-0.1751425,-0.1001005,-0.162241,-0.30018975000000003,-0.3622675,-0.04234025000000001,-0.3878625,Nglycan_Golgi
B4GALT5,-0.40780500000000003,0.09314400000000002,0.111974025,-0.14891525,0.127101475,-0.08216494999999999,-0.02033850000000001,0.10980999999999999,Nglycan_Golgi
CTSA,-0.04314975,0.022739500000000027,-0.2200775,0.274387,-0.11373499999999999,-0.08087325,-0.634385,-0.03291625000000001,Nglycan_Lyso
DAD1,0.66745575,-0.6674100000000001,-0.5784374999999999,-0.6942425000000001,-0.4855615,-0.35584,-0.264015,-0.44641949999999997,Nglycan_ER
DDOST,0.3981225,-1.1371075,-1.203085,-0.6783975,-0.490645,0.6258254999999999,0.17914325,0.11775550000000001,Nglycan_ER
DHDDS,-0.2710475,0.30943999999999994,-0.293266,-0.22279499999999997,-0.18341249999999998,0.4004875,0.45450250000000003,-0.2807525,Nglycan_Cyto
DOLK,-0.04801024999999998,0.006287250000000008,0.264726,0.438145,-0.27946899999999997,-0.36817,-0.09131150000000002,-0.20379,Nglycan_Cyto
DOLPP1,-0.31812925000000003,0.3147,0.19771999999999998,-0.23538,-0.13706500000000002,0.21110042499999998,0.1830405,-0.016782500000000006,Nglycan_Cyto
DPAGT1,0.5142100000000001,-0.61904925,-0.743815,-0.48168,-0.4259825,0.03912082500000001,-0.24541095,-0.5581,Nglycan_Cyto
DPM1,1.8989,-1.3927749999999999,-1.3131975,-1.404975,-1.4241000000000001,-0.7794375,-0.7813375,-0.3807075,GPI
DPM2,2.027,-1.235385,-0.5254525,-1.1835,-1.414975,-0.768735,-1.0499075,-0.6254649999999999,GPI
DPM3,0.39054825000000004,-0.19355975,-0.207725,-0.6392855,-0.21086074999999999,-0.6356425,-0.4510275,-0.5655275,GPI
ENGASE,-0.12545800000000001,0.3477945,-0.06467975000000001,-0.181771,0.053193049999999964,-0.4505675,-0.5262475,-0.42367,Nglycan_Cyto
FDPS,-0.6891025000000001,0.33904674999999995,0.17513,0.13254325,-0.23572749999999998,-0.453055,0.7740825,0.7423,Nglycan_Cyto
FUCA1,-0.477375,-0.02041599999999999,-0.16122725,-0.3447825,0.2775505,-0.32277,0.15569,-0.445145,Nglycan_Lyso
FUCA2,-0.266717,-0.0686375,0.23483225000000002,-0.1376511,0.137565,-0.2090705,-0.024042499999999994,0.07928324999999997,Nglycan_Lyso
FUT8,-0.022160000000000006,0.738425,-0.3105675,-0.08701,-0.485615,-0.4700925,-0.31262999999999996,0.09246000000000001,Nglycan_Golgi
GALNS,-0.164985,0.05951825000000001,0.042531500000000014,-0.24467775,-0.07342000000000001,-0.25795275,0.011390999999999991,-0.21909575,Nglycan_Lyso
GANAB,-0.31066625000000003,0.0884965,0.33374075,0.10062000000000001,-0.24990774999999998,0.04352024999999998,-0.13896,0.30274500000000004,Nglycan_ER
GGPS1,-0.619085,0.6999225,-0.4407925,0.46547225,0.0897625,0.24217,0.18531899999999998,0.46780000000000005,Nglycan_Cyto
GLB1,-0.1562945,0.1629315,0.170098825,-0.3294825,-0.13834549999999998,-0.17288550000000003,0.227223,-0.211802,Nglycan_Lyso
GPAA1,-0.47841999999999996,-0.1436995,0.3338575,-0.17608675000000001,-0.339705,-0.006140000000000034,0.281869525,0.11144000000000001,GPI
HEXA,0.2257925,-0.37623125,-0.14978,0.386571,-0.5145725000000001,-0.280069625,-0.46609425,-0.46067125,Nglycan_Lyso
HEXB,0.49677499999999997,-0.2775225,-0.12582,-0.48666,-0.07736,-0.37454675000000004,-0.23176250000000004,-0.351103,Nglycan_Lyso
HEXDC,0.14616250000000003,0.02320549999999999,0.14238050000000002,-0.27128874999999997,-0.1263125,-0.18301058,-0.28741375,-0.42015250000000004,Nglycan_Lyso
MAN1A1,0.1291825,-0.17017474999999999,-0.09447467500000001,-0.013737,0.27061775,-0.150005,-0.015345999999999999,-0.2549075,Nglycan_ER
MAN1A2,-0.10326285,0.21233174999999999,-0.1076975,-0.3730725,-0.3910375,-0.27147374999999996,-0.15576500000000001,-0.14473,Nglycan_ER
MAN1B1,-0.06391999999999999,-0.01076075000000002,0.268501975,-0.23205075,0.36977424999999997,-0.25226750000000003,-0.19405925000000002,-0.3542625,Nglycan_ER
MAN1C1,0.17984499999999998,0.3331175,-0.0545375,-0.2539475,-0.048575750000000015,-0.5623625,-0.20462124999999998,-0.18454500000000001,Nglycan_ER
MAN2A1,-0.43285375,-0.05786274999999997,0.29453324999999997,-0.231901,-0.0712575,0.23941325,0.49549875,0.18610349999999998,Nglycan_Golgi
MAN2A2,-0.7124625,0.4340925,0.34941,0.5988165,-0.02044012500000001,-0.2043015,-0.14347749999999998,-0.35387975,Nglycan_Golgi
MAN2B1,0.06041749999999999,-0.242095,-0.022837,-0.101284645,-0.06753999999999999,-0.488685,0.0626835,-0.33536725,Nglycan_Lyso
MAN2B2,0.4500725,0.21309404999999998,0.28018925,0.272495,-0.4912175,-0.04608499999999999,-0.2327225,-0.07487000000000002,Nglycan_Lyso
MAN2C1,-0.32019025,-0.2112425,0.30586057499999997,0.24697875,0.08161249999999998,0.12212999999999996,-0.44369499999999995,-0.14850950000000002,Nglycan_Cyto
