,Feature,num_feat_genes,num_feat_ids,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_geneIDs
0,Cells_AreaShape_NormalizedMoment_3_3,57,51,GO:0005665,"RNA polymerase II, core complex",cellular_component,5.98507401791178e-10,1.0408043717148585e-06,5,48,15,"{5441, 81488, 5430, 5433, 5438}"
1,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0042274,ribosomal small subunit biogenesis,biological_process,1.9935339730366133e-16,2.3800802104084126e-12,16,192,72,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
2,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,2.685878966833703e-13,1.603335449251379e-09,7,192,8,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
3,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,3.947057233500951e-12,1.5707972103589286e-08,7,192,10,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
4,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0006364,rRNA processing,biological_process,7.49451809927448e-10,2.2369262896809506e-06,13,192,115,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
5,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0032040,small-subunit processome,cellular_component,2.5363132125547894e-16,4.4106486766327786e-13,16,192,74,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
6,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0005730,nucleolus,cellular_component,2.2517802444380554e-14,1.957922922538889e-11,40,192,1357,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
7,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0005654,nucleoplasm,cellular_component,5.498178177762478e-14,3.187110617042983e-11,91,192,3887,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
8,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:1902495,transmembrane transporter complex,cellular_component,2.5170159708916388e-09,1.0942726933451399e-06,6,192,13,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
9,Cells_Correlation_Correlation_ConA_DAPI_Painting,209,194,GO:0003723,RNA binding,molecular_function,1.77278933977977e-14,7.745316625497816e-11,51,192,1389,"{6209, 6210, 51077, 56902, 10171, 5822, 27340, 92856, 57647, 10607, 51602, 84946, 23160, 8602, 65083, 9790}"
10,Cells_Correlation_Correlation_ConA_Mito,104,96,GO:0006364,rRNA processing,biological_process,5.0980651787283917e-11,6.086580016883827e-07,11,95,115,"{84128, 11137, 9188, 84135, 1736, 6839, 57418, 54606, 6223, 10775, 10556}"
11,Cells_Correlation_Correlation_ConA_Mito,104,96,GO:0005730,nucleolus,cellular_component,2.0051841621370635e-09,3.4870152579563536e-06,22,95,1357,"{84128, 11137, 9188, 84135, 1736, 6839, 57418, 54606, 6223, 10775, 10556}"
12,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0042274,ribosomal small subunit biogenesis,biological_process,5.390929608187643e-16,6.436230859215227e-12,14,131,72,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
13,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0006364,rRNA processing,biological_process,3.1408131305513246e-13,1.8749083982826134e-09,14,131,115,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
14,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0032040,small-subunit processome,cellular_component,1.2106180797606709e-20,2.1052648407038067e-17,17,131,74,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
15,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0005730,nucleolus,cellular_component,5.441965837233642e-13,4.731789295474652e-10,31,131,1357,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
16,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0030681,multimeric ribonuclease P complex,cellular_component,8.637276519539945e-09,5.0067412891599885e-06,5,131,10,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
17,Cells_Correlation_Correlation_ConA_WGA,141,131,GO:0003723,RNA binding,molecular_function,1.4827109227037435e-17,6.477964021292655e-14,45,131,1389,"{84128, 6210, 10885, 56902, 51077, 10171, 57647, 10607, 55127, 23160, 8602, 65083, 9790, 134430}"
18,Cells_Correlation_Correlation_Cycle01_DAPI_WGA,51,46,GO:0030665,clathrin-coated vesicle membrane,cellular_component,1.5144820554718201e-10,2.633684294465495e-07,6,46,29,"{526, 527, 528, 533, 51382, 537}"
19,Cells_Correlation_Correlation_Cycle01_DAPI_WGA,51,46,GO:0010008,endosome membrane,cellular_component,6.128931559604292e-10,5.329105991075932e-07,10,46,240,"{526, 527, 528, 533, 51382, 537}"
20,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0042274,ribosomal small subunit biogenesis,biological_process,2.0965903553774811e-22,2.5031192252851747e-18,23,308,72,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
21,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0006364,rRNA processing,biological_process,3.6866746655990434e-10,2.200760441629349e-06,16,308,115,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
22,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0032040,small-subunit processome,cellular_component,7.577085002616161e-21,1.3176550819549504e-17,22,308,74,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
