,Feature,num_feat_genes,num_feat_ids,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_geneIDs
0,Cells_AreaShape_Perimeter,70,64,GO:0005654,nucleoplasm,cellular_component,8.523060577223197e-11,1.482160234379114e-07,38,62,3887,"{10885, 4998, 79622, 6667, 5393, 25875, 6426, 8731, 8607, 51750, 10921, 116138, 64426, 8233, 8621, 5424, 5557, 4796, 10556, 10049, 28227, 84296, 8651, 10320, 8914, 8405, 5719, 6232, 55388, 26589, 11103, 9439, 5983, 5985, 6119, 8295, 7541, 7421}"
1,Cells_Correlation_Correlation_ConA_Cycle01_DAPI,368,319,GO:0006364,rRNA processing,biological_process,1.7789791954392692e-16,2.1239232614349435e-12,22,309,115,"{51202, 5394, 10775, 51096, 8602, 10528, 84135, 51367, 65083, 28987, 10556, 6209, 51010, 4931, 22984, 79050, 6232, 23016, 23404, 55661, 51575, 1662}"
2,Cells_Correlation_Correlation_ConA_Cycle01_DAPI,368,319,GO:0005654,nucleoplasm,cellular_component,1.1559993794090814e-12,2.0102829207923927e-09,126,309,3887,"{51202, 5394, 10775, 51096, 8602, 10528, 84135, 51367, 65083, 28987, 10556, 6209, 51010, 4931, 22984, 79050, 6232, 23016, 23404, 55661, 51575, 1662}"
3,Cells_Correlation_Correlation_ConA_Cycle01_DAPI,368,319,GO:0032040,small-subunit processome,cellular_component,9.044140178231024e-11,7.863879884971876e-08,14,309,74,"{51202, 5394, 10775, 51096, 8602, 10528, 84135, 51367, 65083, 28987, 10556, 6209, 51010, 4931, 22984, 79050, 6232, 23016, 23404, 55661, 51575, 1662}"
4,Cells_Correlation_Correlation_ConA_Cycle01_DAPI,368,319,GO:0003723,RNA binding,molecular_function,2.435661556926721e-13,1.0641405342212845e-09,66,309,1389,"{51202, 5394, 10775, 51096, 8602, 10528, 84135, 51367, 65083, 28987, 10556, 6209, 51010, 4931, 22984, 79050, 6232, 23016, 23404, 55661, 51575, 1662}"
5,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0006364,rRNA processing,biological_process,4.7598402751936915e-21,5.682773304553749e-17,26,314,115,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
6,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0042274,ribosomal small subunit biogenesis,biological_process,4.155815324661293e-18,2.4808139580565592e-14,20,314,72,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
7,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0034475,U4 snRNA 3'-end processing,biological_process,8.716100589508795e-12,3.468717497938183e-08,7,314,8,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
8,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0034427,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'",biological_process,3.8558652768093555e-11,1.1508793884956725e-07,7,314,10,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
9,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0032040,small-subunit processome,cellular_component,5.6525018476287424e-18,9.829700713026382e-15,20,314,74,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
